year,date,survey,horate,horate_low,horate_high
2005,2005-12-01,ACS,0.6689942319791059,0.6663558093299635,0.6716326546282482
2006,2006-12-01,ACS,0.6727130685231323,0.6707557482837667,0.6746703887624979
2007,2007-12-01,ACS,0.6719742249853813,0.6699521561951591,0.6739962937756033
2008,2008-12-01,ACS,0.6664205776043534,0.6644392834676593,0.6684018717410474
2009,2009-12-01,ACS,0.6587351530563472,0.6568192119807109,0.6606510941319835
2010,2010-12-01,ACS,0.6535311055580295,0.6516449585025564,0.6554172526135026
2011,2011-12-01,ACS,0.64582416691288,0.643820196627192,0.647828137198568
2012,2012-12-01,ACS,0.6391269293643831,0.6373625177783753,0.6408913409503909
2013,2013-12-01,ACS,0.6349918742230108,0.6331613719520404,0.6368223764939813
2014,2014-12-01,ACS,0.6310110572176001,0.62915299765195,0.6328691167832502
2015,2015-12-01,ACS,0.6302987481838197,0.6283679354021399,0.6322295609654994
2016,2016-12-01,ACS,0.6311839809274882,0.6292658261628916,0.6331021356920846
2017,2017-12-01,ACS,0.6386991349811563,0.6366692559223456,0.640729014039967
2018,2018-12-01,ACS,0.6394690495027245,0.6375271744989186,0.6414109245065305
2000,2000-01-01,CPS,0.6709999999999999,0.6679999999999999,0.6739999999999999
2000,2000-04-01,CPS,0.672,0.669,0.675
2000,2000-07-01,CPS,0.677,0.674,0.68
2000,2000-10-01,CPS,0.675,0.672,0.678
2001,2001-01-01,CPS,0.675,0.672,0.678
2001,2001-04-01,CPS,0.677,0.674,0.68
2001,2001-07-01,CPS,0.6809999999999999,0.6779999999999999,0.6839999999999999
2001,2001-10-01,CPS,0.68,0.677,0.683
2002,2002-01-01,CPS,0.6779999999999999,0.6749999999999999,0.6809999999999999
2002,2002-04-01,CPS,0.6759999999999999,0.6729999999999999,0.6789999999999999
2002,2002-07-01,CPS,0.68,0.677,0.683
2002,2002-10-01,CPS,0.6829999999999999,0.6799999999999999,0.6859999999999999
2003,2003-01-01,CPS,0.68,0.677,0.683
2003,2003-04-01,CPS,0.68,0.677,0.683
2003,2003-07-01,CPS,0.684,0.681,0.687
2003,2003-10-01,CPS,0.6859999999999999,0.6829999999999999,0.689
2004,2004-01-01,CPS,0.6859999999999999,0.6829999999999999,0.689
2004,2004-04-01,CPS,0.6920000000000001,0.6900000000000001,0.6940000000000001
2004,2004-07-01,CPS,0.69,0.688,0.692
2004,2004-10-01,CPS,0.6920000000000001,0.6890000000000001,0.6950000000000001
2005,2005-01-01,CPS,0.691,0.6859999999999999,0.696
2005,2005-04-01,CPS,0.6859999999999999,0.6809999999999999,0.691
2005,2005-07-01,CPS,0.688,0.6829999999999999,0.693
2005,2005-10-01,CPS,0.69,0.6849999999999999,0.695
2006,2006-01-01,CPS,0.685,0.68,0.6900000000000001
2006,2006-04-01,CPS,0.687,0.682,0.6920000000000001
2006,2006-07-01,CPS,0.69,0.6849999999999999,0.695
2006,2006-10-01,CPS,0.6890000000000001,0.684,0.6940000000000001
2007,2007-01-01,CPS,0.684,0.679,0.6890000000000001
2007,2007-04-01,CPS,0.682,0.677,0.687
2007,2007-07-01,CPS,0.682,0.677,0.687
2007,2007-10-01,CPS,0.6779999999999999,0.6729999999999999,0.6829999999999999
2008,2008-01-01,CPS,0.6779999999999999,0.6729999999999999,0.6829999999999999
2008,2008-04-01,CPS,0.6809999999999999,0.6759999999999999,0.6859999999999999
2008,2008-07-01,CPS,0.679,0.674,0.684
2008,2008-10-01,CPS,0.675,0.67,0.68
2009,2009-01-01,CPS,0.6729999999999999,0.6679999999999999,0.6779999999999999
2009,2009-04-01,CPS,0.674,0.669,0.679
2009,2009-07-01,CPS,0.6759999999999999,0.6709999999999999,0.6809999999999999
2009,2009-10-01,CPS,0.672,0.667,0.677
2010,2010-01-01,CPS,0.6709999999999999,0.6659999999999999,0.6759999999999999
2010,2010-04-01,CPS,0.669,0.664,0.674
2010,2010-07-01,CPS,0.669,0.664,0.674
2010,2010-10-01,CPS,0.665,0.66,0.67
2011,2011-01-01,CPS,0.664,0.659,0.669
2011,2011-04-01,CPS,0.659,0.654,0.664
2011,2011-07-01,CPS,0.6629999999999999,0.6579999999999999,0.6679999999999999
2011,2011-10-01,CPS,0.66,0.655,0.665
2012,2012-01-01,CPS,0.654,0.649,0.659
2012,2012-04-01,CPS,0.655,0.65,0.66
2012,2012-07-01,CPS,0.655,0.65,0.66
2012,2012-10-01,CPS,0.654,0.649,0.659
2013,2013-01-01,CPS,0.65,0.645,0.655
2013,2013-04-01,CPS,0.65,0.645,0.655
2013,2013-07-01,CPS,0.653,0.648,0.658
2013,2013-10-01,CPS,0.652,0.647,0.657
2014,2014-01-01,CPS,0.648,0.643,0.653
2014,2014-04-01,CPS,0.647,0.642,0.652
2014,2014-07-01,CPS,0.644,0.639,0.649
2014,2014-10-01,CPS,0.64,0.635,0.645
2015,2015-01-01,CPS,0.637,0.632,0.642
2015,2015-04-01,CPS,0.634,0.629,0.639
2015,2015-07-01,CPS,0.637,0.632,0.642
2015,2015-10-01,CPS,0.638,0.633,0.643
2016,2016-01-01,CPS,0.635,0.63,0.64
2016,2016-04-01,CPS,0.629,0.624,0.634
2016,2016-07-01,CPS,0.635,0.63,0.64
2016,2016-10-01,CPS,0.637,0.632,0.642
2017,2017-01-01,CPS,0.636,0.631,0.641
2017,2017-04-01,CPS,0.637,0.632,0.642
2017,2017-07-01,CPS,0.639,0.634,0.644
2017,2017-10-01,CPS,0.642,0.637,0.647
2018,2018-01-01,CPS,0.642,0.637,0.647
2018,2018-04-01,CPS,0.643,0.638,0.648
2018,2018-07-01,CPS,0.644,0.639,0.649
2018,2018-10-01,CPS,0.648,0.643,0.653
2019,2019-01-01,CPS,0.642,0.637,0.647
2019,2019-04-01,CPS,0.6409999999999999,0.6359999999999999,0.6459999999999999
